Year,Album,Album,Album,Album,Album
Year,1,2,3,4,5
2024[199],Taylor Swift The Tortured Poets Department,Billie Eilish Hit Me Hard and Soft,Sabrina Carpenter Short n' Sweet,Karol G Mañana Será Bonito,Ariana Grande Eternal Sunshine
2023[200],Bad Bunny Un Verano Sin Ti,Taylor Swift Midnights,SZA SOS,The Weeknd Starboy,Karol G Mañana Será Bonito
2022[115],Bad Bunny Un Verano Sin Ti,Harry Styles Harry's House,Olivia Rodrigo Sour,Ed Sheeran =,Doja Cat Planet Her
2021[114],Olivia Rodrigo Sour,Dua Lipa Future Nostalgia,Justin Bieber Justice,Ed Sheeran =,Doja Cat Planet Her
2020[113],Bad Bunny YHLQMDLG,The Weeknd After Hours,Post Malone Hollywood's Bleeding,Harry Styles Fine Line,Dua Lipa Future Nostalgia
2019[201],"Billie Eilish When We All Fall Asleep, Where Do We Go?",Post Malone Hollywood's Bleeding,"Ariana Grande Thank U, Next",Ed Sheeran No.6 Collaborations Project,Shawn Mendes Shawn Mendes
2018[202],Drake Scorpion,Post Malone Beerbongs & Bentleys,XXXTentacion ?,Dua Lipa Dua Lipa,Ed Sheeran ÷
2017[203],Ed Sheeran ÷,Drake More Life,Kendrick Lamar Damn,The Weeknd Starboy,Post Malone Stoney
2016[204],Drake Views,Justin Bieber Purpose,Rihanna Anti,Twenty One Pilots Blurryface,The Weeknd Beauty Behind The Madness
2015[205],The Weeknd Beauty Behind the Madness,Drake If You're Reading This It's Too Late,Major Lazer Peace Is the Mission,Avicii Stories,Meghan Trainor Title
2014[206],Ed Sheeran ×,Sam Smith In The Lonely Hour,Iggy Azalea The New Classic,Pharrell Williams Girl,Ariana Grande My Everything
2013[207],Macklemore & Ryan Lewis The Heist,Calvin Harris 18 Months,Imagine Dragons Night Visions,Pink The Truth About Love,Bruno Mars Unorthodox Jukebox
2012[208],David Guetta Nothing But The Beat,Gotye Making Mirrors,Drake Take Care,Lana Del Rey Born To Die,One Direction Up All Night
