Rank,Album,Artist(s),Streams,Tracks,Average,Date published,Date achieved,Ref.
1,The Tortured Poets Department[W],Taylor Swift,1173127225,31,37842814,19 April 2024,25 April 2024,[233]
2,Midnights[X],Taylor Swift,776481256,20,38824063,21 October 2022,27 October 2022,[234]
3,Un Verano Sin Ti,Bad Bunny,618159971,23,26876520,6 May 2022,12 May 2022,[235]
4,Debí Tirar Más Fotos,Bad Bunny,579245938,17,34073290,5 January 2025,16 January 2025,[236]
5,1989 (Taylor's Version)[Y],Taylor Swift,572430422,22,26019565,27 October 2023,2 November 2023,[237]
6,Scorpion,Drake,559021928,25,22360877,29 June 2018,5 July 2018,[238]
7,Certified Lover Boy,Drake,497083050,21,23670621,3 September 2021,9 September 2021,[239]
8,Music,Playboi Carti,490000000,30,22424719,14 March 2025,21 March 2025,[240]
9,Utopia,Travis Scott,456734411,19,24038653,28 July 2023,3 August 2023,[241]
10,Harry's House,Harry Styles,434429007,13,33417616,20 May 2022,26 May 2022,[242]
11,Beerbongs & Bentleys,Post Malone,409107439,18,24065143,27 April 2018,3 May 2018,[243]
12,For All the Dogs,Drake,405443786,23,17627990,6 October 2023,12 October 2023,[244]
13,Speak Now (Taylor's Version),Taylor Swift,392280215,22,17830919,7 July 2023,13 July 2023,[245]
14,Her Loss,Drake and 21 Savage,381665545,16,23854097,4 November 2022,10 November 2022,[246]
15,Hit Me Hard And Soft,Billie Eilish,379489612,10,37948961,17 May 2024,23 May 2024,[247]
16,Hollywood's Bleeding,Post Malone,379067856,17,22298109,6 September 2019,12 September 2019,[248]
17,Red (Taylor's Version),Taylor Swift,377701119,30,12590037,12 November 2021,18 November 2021,[249]
18,Sour,Olivia Rodrigo,374074137,11,34006740,21 May 2021,27 May 2021,[250]
19,÷[Z],Ed Sheeran,372008974,16,23250561,3 March 2017,9 March 2017,[251]
20,"Thank U, Next",Ariana Grande,370544675,12,30878723,8 February 2019,14 February 2019,[252]
