Rank,Song,Artist(s),Streams,Date published,Date achieved,Ref.,Unnamed: 7
1,"""All I Want For Christmas Is You""",Mariah Carey,24863570,28 October 1994,24 December 2024,[136],
2,"""Last Christmas""",Wham!,24556791,3 December 1984,24 December 2024,[136],
3,"""Rockin' Around the Christmas Tree""",Brenda Lee,21635497,24 November 1958,24 December 2024,[136],
4,"""Jingle Bell Rock""",Bobby Helms,18917096,28 November 1957,24 December 2024,[136],
5,"""Santa Tell Me""",Ariana Grande,15074202,24 November 2014,24 December 2024,[136],
6,"""It's Beginning to Look a Lot Like Christmas""",Michael Bublé,14790986,21 October 2011,24 December 2023,[137],
7,"""Underneath the Tree""",Kelly Clarkson,14543628,5 November 2013,24 December 2024,[136],
8,"""Let It Snow! Let It Snow! Let It Snow!""",Dean Martin,14324413,1959,24 December 2024,[136],
9,"""It's the Most Wonderful Time of the Year""",Andy Williams,13789130,14 October 1963,24 December 2023,[137],
10,"""Feliz Navidad""",José Feliciano,12993457,9 November 1970,24 December 2024,[136],
11,"""Snowman""",Sia,12956323,9 November 2017,24 December 2024,[136],
12,"""Sleigh Ride""",The Ronettes,10884432,22 November 1963,24 December 2023,[137],
13,"""Mistletoe""",Justin Bieber,10213509,17 October 2011,24 December 2024,[136],
14,"""Holly Jolly Christmas""",Michael Bublé,9979369,21 October 2011,24 December 2023,[137],
15,"""Happy Xmas (War is Over)""",John Lennon featuring Yoko Ono,9395288,1 December 1971,24 December 2024,[136],
16,"""Wonderful Christmastime""",Paul McCartney,9217618,16 November 1979,24 December 2024,[136],
17,"""The Christmas Song""",Nat King Cole,9014824,1946,24 December 2024,[136],
18,"""Merry Christmas Everyone""",Shakin' Stevens,8465910,25 November 1985,24 December 2024,[136],
19,"""Driving Home for Christmas""",Chris Rea,8436727,17 October 1988,24 December 2021,[138],
20,"""Merry Christmas""","Ed Sheeran, Elton John",8364952,3 December 2021,24 December 2024,[136],
As of 25 December 2024,As of 25 December 2024,As of 25 December 2024,As of 25 December 2024,As of 25 December 2024,As of 25 December 2024,As of 25 December 2024,As of 25 December 2024
